Czas[s],Temperatura[degC],Moc[W], Poziom Mocy[%]
268,25.0187,0,0
269,24.9761,8000,100
270,24.9983,8000,100
271,25.0204,0,0
272,24.9778,8000,100
273,24.9999,8000,100
274,25.022,0,0
275,24.9794,8000,100
276,25.0016,0,0
277,24.959,8000,100
278,24.9812,8000,100
279,25.0033,0,0
280,24.9607,8000,100
281,24.9829,8000,100
282,25.005,0,0
283,24.9624,8000,100
284,24.9846,8000,100
285,25.0067,0,0
286,24.9641,8000,100
287,24.9863,8000,100
288,25.0084,0,0
289,24.9658,8000,100
290,24.988,8000,100
291,25.0101,0,0
292,24.9675,8000,100
293,24.9897,8000,100
294,25.0118,0,0
295,24.9692,8000,100
296,24.9913,8000,100
297,25.0135,0,0
298,24.9709,8000,100
299,24.993,8000,100
300,25.0151,0,0
301,24.9726,8000,100
302,24.9947,8000,100
303,25.0168,0,0
304,24.9742,8000,100
305,24.9964,8000,100
306,25.0185,0,0
307,24.9759,8000,100
308,24.998,8000,100
309,25.0202,0,0
310,24.9776,8000,100
311,24.9997,8000,100
312,25.0218,0,0
313,24.9792,8000,100
314,25.0014,0,0
315,24.9588,8000,100
316,24.9809,8000,100
317,25.0031,0,0
318,24.9605,8000,100
319,24.9826,8000,100
320,25.0048,0,0
321,24.9622,8000,100
322,24.9843,8000,100
323,25.0065,0,0
324,24.9639,8000,100
325,24.986,8000,100
326,25.0082,0,0
327,24.9656,8000,100
328,24.9877,8000,100
329,25.0099,0,0
330,24.9673,8000,100
331,24.9894,8000,100
332,25.0116,0,0
333,24.969,8000,100
334,24.9911,8000,100
335,25.0132,0,0
336,24.9707,8000,100
337,24.9928,8000,100
338,25.0149,0,0
339,24.9723,8000,100
340,24.9945,8000,100
341,25.0166,0,0
342,24.974,8000,100
343,24.9961,8000,100
344,25.0183,0,0
345,24.9757,8000,100
346,24.9978,8000,100
347,25.0199,0,0
348,24.9773,8000,100
349,24.9995,8000,100
350,25.0216,0,0
351,24.979,8000,100
352,25.0011,0,0
353,24.9586,8000,100
354,24.9807,8000,100
355,25.0028,0,0
356,24.9603,8000,100
357,24.9824,8000,100
358,25.0046,0,0
359,24.962,8000,100
360,24.9841,8000,100
361,25.0063,0,0
362,24.9637,8000,100
363,24.9858,8000,100
364,25.008,0,0
365,24.9654,8000,100
366,24.9875,8000,100
367,25.0097,0,0
368,24.9671,8000,100
369,24.9892,8000,100
370,25.0113,0,0
371,24.9688,8000,100
372,24.9909,8000,100
373,25.013,0,0
374,24.9704,8000,100
375,24.9926,8000,100
376,25.0147,0,0
377,24.9721,8000,100
378,24.9943,8000,100
379,25.0164,0,0
380,24.9738,8000,100
381,24.9959,8000,100
382,25.0181,0,0
383,24.9755,8000,100
384,24.9976,8000,100
385,25.0197,0,0
386,24.9771,8000,100
387,24.9993,8000,100
388,25.0214,0,0
389,24.9788,8000,100
390,25.0009,0,0
391,24.9584,8000,100
392,24.9805,8000,100
393,25.0026,0,0
394,24.9601,8000,100
395,24.9822,8000,100
396,25.0044,0,0
397,24.9618,8000,100
398,24.9839,8000,100
399,25.0061,0,0
400,24.9635,8000,100
401,24.9856,8000,100
402,25.0078,0,0
403,24.9652,8000,100
404,24.9873,8000,100
405,25.0095,0,0
406,24.9669,8000,100
407,24.989,8000,100
408,25.0111,0,0
409,24.9686,8000,100
410,24.9907,8000,100
411,25.0128,0,0
412,24.9702,8000,100
413,24.9924,8000,100
414,25.0145,0,0
415,24.9719,8000,100
416,24.9941,8000,100
417,25.0162,0,0
418,24.9736,8000,100
419,24.9957,8000,100
420,25.0179,0,0
421,24.9753,8000,100
422,24.9974,8000,100
423,25.0195,0,0
424,24.9769,8000,100
425,24.9991,8000,100
426,25.0212,0,0
427,24.9786,8000,100
428,25.0007,0,0
429,24.9581,8000,100
430,24.9803,8000,100
431,25.0024,0,0
432,24.9599,8000,100
433,24.982,8000,100
434,25.0042,0,0
435,24.9616,8000,100
436,24.9837,8000,100
437,25.0059,0,0
438,24.9633,8000,100
439,24.9854,8000,100
440,25.0076,0,0
441,24.965,8000,100
442,24.9871,8000,100
443,25.0093,0,0
444,24.9667,8000,100
445,24.9888,8000,100
446,25.0109,0,0
447,24.9684,8000,100
448,24.9905,8000,100
449,25.0126,0,0
450,24.97,8000,100
451,24.9922,8000,100
452,25.0143,0,0
453,24.9717,8000,100
454,24.9939,8000,100
455,25.016,0,0
456,24.9734,8000,100
457,24.9955,8000,100
458,25.0177,0,0
459,24.9751,8000,100
460,24.9972,8000,100
461,25.0193,0,0
462,24.9767,8000,100
463,24.9989,8000,100
464,25.021,0,0
465,24.9784,8000,100
466,25.0005,0,0
467,24.958,8000,100
468,24.9801,8000,100
469,25.0022,0,0
470,24.9597,8000,100
471,24.9818,8000,100
472,25.004,0,0
473,24.9614,8000,100
474,24.9835,8000,100
475,25.0057,0,0
476,24.9631,8000,100
